
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_A122P
Command line:
  gmx mdrun -v -deffnm O52681_A122P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_A122P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot= -4.21628e+05 Fmax= 1.60385e+06, atom= 1927
Step=    1, Dmax= 1.0e-02 nm, Epot= -4.35209e+05 Fmax= 2.38771e+05, atom= 1927
Step=    2, Dmax= 1.2e-02 nm, Epot= -4.37778e+05 Fmax= 3.69887e+04, atom= 1927
Step=    3, Dmax= 1.4e-02 nm, Epot= -4.39663e+05 Fmax= 1.00649e+04, atom= 1925
Step=    4, Dmax= 1.7e-02 nm, Epot= -4.44942e+05 Fmax= 4.04034e+03, atom= 1915
Step=    5, Dmax= 2.1e-02 nm, Epot= -4.55735e+05 Fmax= 2.30310e+04, atom= 1915
Step=    6, Dmax= 2.5e-02 nm, Epot= -4.58304e+05 Fmax= 1.08604e+04, atom= 1915
Step=    7, Dmax= 3.0e-02 nm, Epot= -4.61211e+05 Fmax= 2.94358e+04, atom= 1915
Step=    8, Dmax= 3.6e-02 nm, Epot= -4.63387e+05 Fmax= 1.93255e+04, atom= 1915
Step=    9, Dmax= 4.3e-02 nm, Epot= -4.63988e+05 Fmax= 3.88348e+04, atom= 1915
Step=   10, Dmax= 5.2e-02 nm, Epot= -4.65944e+05 Fmax= 3.12323e+04, atom= 1915
Step=   11, Dmax= 6.2e-02 nm, Epot= -4.63217e+05 Fmax= 5.30193e+04, atom= 1915
Step=   12, Dmax= 3.1e-02 nm, Epot= -4.68523e+05 Fmax= 1.06758e+04, atom= 1915
Step=   13, Dmax= 3.7e-02 nm, Epot= -4.66156e+05 Fmax= 4.04255e+04, atom= 1334
Step=   14, Dmax= 1.9e-02 nm, Epot= -4.69650e+05 Fmax= 1.56241e+04, atom= 1334
Step=   15, Dmax= 2.2e-02 nm, Epot= -4.70685e+05 Fmax= 1.82748e+04, atom= 1334
Step=   16, Dmax= 2.7e-02 nm, Epot= -4.71463e+05 Fmax= 2.26369e+04, atom= 1334
Step=   17, Dmax= 3.2e-02 nm, Epot= -4.72161e+05 Fmax= 2.60329e+04, atom= 1334
Step=   18, Dmax= 3.9e-02 nm, Epot= -4.72311e+05 Fmax= 3.24526e+04, atom= 1334
Step=   19, Dmax= 4.6e-02 nm, Epot= -4.72431e+05 Fmax= 3.70098e+04, atom= 1334
Step=   20, Dmax= 5.5e-02 nm, Epot= -4.71324e+05 Fmax= 4.59802e+04, atom= 1334
Step=   21, Dmax= 2.8e-02 nm, Epot= -4.76492e+05 Fmax= 4.99366e+03, atom= 1334
Step=   22, Dmax= 3.3e-02 nm, Epot= -4.75361e+05 Fmax= 4.51364e+04, atom= 1334
Step=   23, Dmax= 1.7e-02 nm, Epot= -4.77624e+05 Fmax= 1.95702e+04, atom= 1334
Step=   24, Dmax= 2.0e-02 nm, Epot= -4.78927e+05 Fmax= 1.09504e+04, atom= 1334
Step=   25, Dmax= 2.4e-02 nm, Epot= -4.78728e+05 Fmax= 2.54235e+04, atom= 1334
Step=   26, Dmax= 1.2e-02 nm, Epot= -4.79714e+05 Fmax= 7.22499e+03, atom= 1334
Step=   27, Dmax= 1.4e-02 nm, Epot= -4.80340e+05 Fmax= 1.48999e+04, atom= 1334
Step=   28, Dmax= 1.7e-02 nm, Epot= -4.81171e+05 Fmax= 1.13506e+04, atom= 1334
Step=   29, Dmax= 2.1e-02 nm, Epot= -4.81333e+05 Fmax= 2.03955e+04, atom= 1334
Step=   30, Dmax= 2.5e-02 nm, Epot= -4.82192e+05 Fmax= 1.73728e+04, atom= 1334
Step=   31, Dmax= 3.0e-02 nm, Epot= -4.81720e+05 Fmax= 2.81174e+04, atom= 1334
Step=   32, Dmax= 1.5e-02 nm, Epot= -4.83293e+05 Fmax= 5.41905e+03, atom= 1334
Step=   33, Dmax= 1.8e-02 nm, Epot= -4.83624e+05 Fmax= 2.16741e+04, atom= 1334
Step=   34, Dmax= 2.1e-02 nm, Epot= -4.84912e+05 Fmax= 1.11853e+04, atom= 1334
Step=   35, Dmax= 2.6e-02 nm, Epot= -4.84186e+05 Fmax= 2.79398e+04, atom= 1334
Step=   36, Dmax= 1.3e-02 nm, Epot= -4.85507e+05 Fmax= 8.39051e+03, atom= 1334
Step=   37, Dmax= 1.5e-02 nm, Epot= -4.85822e+05 Fmax= 1.53498e+04, atom= 1334
Step=   38, Dmax= 1.9e-02 nm, Epot= -4.86443e+05 Fmax= 1.28800e+04, atom= 1334
Step=   39, Dmax= 2.2e-02 nm, Epot= -4.86390e+05 Fmax= 2.11943e+04, atom= 1334
Step=   40, Dmax= 1.1e-02 nm, Epot= -4.87126e+05 Fmax= 4.17748e+03, atom= 1334
Step=   41, Dmax= 1.3e-02 nm, Epot= -4.87683e+05 Fmax= 1.60231e+04, atom= 1334
Step=   42, Dmax= 1.6e-02 nm, Epot= -4.88464e+05 Fmax= 8.54727e+03, atom= 1334
Step=   43, Dmax= 1.9e-02 nm, Epot= -4.88362e+05 Fmax= 2.06833e+04, atom= 1334
