
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128T
Command line:
  gmx mdrun -v -deffnm O52681_V128T_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128T_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=   49, Dmax= 1.0e-02 nm, Epot= -4.92424e+05 Fmax= 1.25856e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.92986e+05 Fmax= 5.65313e+03, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.93040e+05 Fmax= 1.64260e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.93723e+05 Fmax= 9.82280e+03, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.93293e+05 Fmax= 2.18382e+04, atom= 1334
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.94128e+05 Fmax= 6.01794e+03, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.94296e+05 Fmax= 1.28168e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.94725e+05 Fmax= 9.97781e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.94646e+05 Fmax= 1.71848e+04, atom= 1334
Step=   58, Dmax= 8.9e-03 nm, Epot= -4.95135e+05 Fmax= 3.61292e+03, atom= 1334
Step=   59, Dmax= 1.1e-02 nm, Epot= -4.95421e+05 Fmax= 1.29293e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.95925e+05 Fmax= 6.67121e+03, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.95827e+05 Fmax= 1.70313e+04, atom= 1334
Step=   62, Dmax= 7.7e-03 nm, Epot= -4.96212e+05 Fmax= 5.18396e+03, atom= 1334
Step=   63, Dmax= 9.3e-03 nm, Epot= -4.96455e+05 Fmax= 8.87182e+03, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.96738e+05 Fmax= 8.17761e+03, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.96871e+05 Fmax= 1.21046e+04, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.97115e+05 Fmax= 1.23985e+04, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.97103e+05 Fmax= 1.68075e+04, atom= 1334
Step=   68, Dmax= 9.6e-03 nm, Epot= -4.97609e+05 Fmax= 2.22153e+03, atom= 1334
