
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/P00221_E142A
Command line:
  gmx mdrun -v -deffnm P00221_E142A_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file P00221_E142A_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=   49, Dmax= 2.4e-02 nm, Epot= -1.01042e+06 Fmax= 2.38061e+04, atom= 1672
Step=   50, Dmax= 1.2e-02 nm, Epot= -1.01138e+06 Fmax= 5.69823e+03, atom= 1672
Step=   51, Dmax= 1.4e-02 nm, Epot= -1.01193e+06 Fmax= 1.62279e+04, atom= 1672
Step=   52, Dmax= 1.7e-02 nm, Epot= -1.01283e+06 Fmax= 9.93750e+03, atom= 1672
Step=   53, Dmax= 2.1e-02 nm, Epot= -1.01277e+06 Fmax= 2.15598e+04, atom= 1672
Step=   54, Dmax= 1.0e-02 nm, Epot= -1.01346e+06 Fmax= 5.81755e+03, atom= 1672
Step=   55, Dmax= 1.2e-02 nm, Epot= -1.01402e+06 Fmax= 1.29897e+04, atom= 1672
Step=   56, Dmax= 1.5e-02 nm, Epot= -1.01470e+06 Fmax= 9.70044e+03, atom= 1672
Step=   57, Dmax= 1.8e-02 nm, Epot= -1.01489e+06 Fmax= 1.74018e+04, atom= 1672
Step=   58, Dmax= 2.1e-02 nm, Epot= -1.01557e+06 Fmax= 1.52084e+04, atom= 1672
Step=   59, Dmax= 2.6e-02 nm, Epot= -1.01532e+06 Fmax= 2.37495e+04, atom= 1672
Step=   60, Dmax= 1.3e-02 nm, Epot= -1.01648e+06 Fmax= 4.30534e+03, atom= 1672
Step=   61, Dmax= 1.5e-02 nm, Epot= -1.01690e+06 Fmax= 1.93198e+04, atom= 1672
Step=   62, Dmax= 1.9e-02 nm, Epot= -1.01807e+06 Fmax= 8.83222e+03, atom= 1672
