Statistic,With Outliers,Without Outliers
Count,98.0,97.0
Mean,0.5298722467708344,0.3837207564219986
Std Dev,1.5986414372673634,0.6990680232514942
Median,0.09742344543337819,0.0926956012845039
Min,0.0,0.0
Max,14.70656681060791,3.825575590133667
