
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_D79P
Command line:
  gmx mdrun -v -deffnm O52681_D79P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_D79P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  3.19524e+06 Fmax= 5.66995e+08, atom= 1881
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.90764e+05 Fmax= 2.01747e+04, atom= 1746
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.91952e+05 Fmax= 2.01427e+03, atom= 1746
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.92470e+05 Fmax= 1.97874e+04, atom= 1746
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.93836e+05 Fmax= 6.57879e+03, atom= 1746
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.92647e+05 Fmax= 2.49573e+04, atom= 1746
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.94060e+05 Fmax= 9.20209e+03, atom= 1746
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.94329e+05 Fmax= 9.76782e+03, atom= 1746
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.94430e+05 Fmax= 1.29449e+04, atom= 1746
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.94608e+05 Fmax= 1.43243e+04, atom= 1746
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.94502e+05 Fmax= 1.83397e+04, atom= 1746
Step=   59, Dmax= 1.1e-02 nm, Epot= -4.95411e+05 Fmax= 2.02545e+03, atom= 1746
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.95745e+05 Fmax= 1.78155e+04, atom= 1746
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.96786e+05 Fmax= 5.81695e+03, atom= 1746
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.95965e+05 Fmax= 2.25190e+04, atom= 1746
Step=   63, Dmax= 9.3e-03 nm, Epot= -4.96980e+05 Fmax= 8.36750e+03, atom= 1746
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.97215e+05 Fmax= 8.60339e+03, atom= 1746
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.97307e+05 Fmax= 1.17974e+04, atom= 1746
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.97492e+05 Fmax= 1.26327e+04, atom= 1746
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.97416e+05 Fmax= 1.66864e+04, atom= 1746
Step=   68, Dmax= 9.6e-03 nm, Epot= -4.98080e+05 Fmax= 2.04914e+03, atom= 1746
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.98383e+05 Fmax= 1.54569e+04, atom= 1746
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.99114e+05 Fmax= 5.71173e+03, atom= 1746
Step=   71, Dmax= 1.7e-02 nm, Epot= -4.98605e+05 Fmax= 1.96246e+04, atom= 1746
Step=   72, Dmax= 8.3e-03 nm, Epot= -4.99305e+05 Fmax= 6.95650e+03, atom= 1746
Step=   73, Dmax= 1.0e-02 nm, Epot= -4.99478e+05 Fmax= 8.29692e+03, atom= 1746
Step=   74, Dmax= 1.2e-02 nm, Epot= -4.99622e+05 Fmax= 9.95502e+03, atom= 1746
Step=   75, Dmax= 1.4e-02 nm, Epot= -4.99727e+05 Fmax= 1.19805e+04, atom= 1746
Step=   76, Dmax= 1.7e-02 nm, Epot= -4.99784e+05 Fmax= 1.42933e+04, atom= 1746
Step=   77, Dmax= 2.1e-02 nm, Epot= -4.99757e+05 Fmax= 1.72235e+04, atom= 1746
Step=   78, Dmax= 1.0e-02 nm, Epot= -5.00432e+05 Fmax= 1.49898e+03, atom= 1746
Step=   79, Dmax= 1.2e-02 nm, Epot= -5.00885e+05 Fmax= 1.72657e+04, atom= 1746
Step=   80, Dmax= 1.5e-02 nm, Epot= -5.01682e+05 Fmax= 5.52864e+03, atom= 1746
Step=   81, Dmax= 1.8e-02 nm, Epot= -5.01026e+05 Fmax= 2.17502e+04, atom= 1746
Step=   82, Dmax= 8.9e-03 nm, Epot= -5.01814e+05 Fmax= 8.12046e+03, atom= 1746
