
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_V128Y
Command line:
  gmx mdrun -v -deffnm O52681_V128Y_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_V128Y_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=    0, Dmax= 1.0e-02 nm, Epot=  1.92742e+08 Fmax= 6.97017e+10, atom= 2009
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.90051e+05 Fmax= 2.66259e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.91167e+05 Fmax= 8.48261e+03, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.91388e+05 Fmax= 1.35881e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.91785e+05 Fmax= 1.26116e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.91765e+05 Fmax= 1.90634e+04, atom= 1334
Step=   54, Dmax= 1.0e-02 nm, Epot= -4.92343e+05 Fmax= 3.24866e+03, atom= 1334
Step=   55, Dmax= 1.2e-02 nm, Epot= -4.92824e+05 Fmax= 1.53977e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.93472e+05 Fmax= 7.44552e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.93319e+05 Fmax= 1.96542e+04, atom= 1334
Step=   58, Dmax= 8.9e-03 nm, Epot= -4.93800e+05 Fmax= 6.10970e+03, atom= 1334
Step=   59, Dmax= 1.1e-02 nm, Epot= -4.94065e+05 Fmax= 1.04167e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.94401e+05 Fmax= 9.14362e+03, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.94512e+05 Fmax= 1.45706e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.94847e+05 Fmax= 1.36009e+04, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.94710e+05 Fmax= 2.04189e+04, atom= 1334
Step=   64, Dmax= 1.1e-02 nm, Epot= -4.95402e+05 Fmax= 3.43510e+03, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.95662e+05 Fmax= 1.66378e+04, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.96319e+05 Fmax= 7.90298e+03, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.95982e+05 Fmax= 2.12333e+04, atom= 1334
Step=   68, Dmax= 9.6e-03 nm, Epot= -4.96598e+05 Fmax= 6.67121e+03, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.96779e+05 Fmax= 1.10714e+04, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -4.97066e+05 Fmax= 9.95511e+03, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -4.97094e+05 Fmax= 1.55093e+04, atom= 1334
Step=   72, Dmax= 2.0e-02 nm, Epot= -4.97373e+05 Fmax= 1.47636e+04, atom= 1334
Step=   73, Dmax= 2.4e-02 nm, Epot= -4.97141e+05 Fmax= 2.17625e+04, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -4.97953e+05 Fmax= 3.53231e+03, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -4.98031e+05 Fmax= 1.80556e+04, atom= 1334
Step=   76, Dmax= 1.7e-02 nm, Epot= -4.98731e+05 Fmax= 8.30993e+03, atom= 1334
Step=   77, Dmax= 2.1e-02 nm, Epot= -4.98200e+05 Fmax= 2.30107e+04, atom= 1334
Step=   78, Dmax= 1.0e-02 nm, Epot= -4.98971e+05 Fmax= 7.35779e+03, atom= 1334
Step=   79, Dmax= 1.2e-02 nm, Epot= -4.99089e+05 Fmax= 1.16908e+04, atom= 1334
Step=   80, Dmax= 1.5e-02 nm, Epot= -4.99330e+05 Fmax= 1.09090e+04, atom= 1334
Step=   81, Dmax= 1.8e-02 nm, Epot= -4.99292e+05 Fmax= 1.64343e+04, atom= 1334
