
--- stderr ---
                :-) GROMACS - gmx mdrun, 2024.5-conda_forge (-:

Executable:   /usr/local/Caskroom/miniforge/base/envs/gromacs_env/bin.AVX2_256/gmx
Data prefix:  /usr/local/Caskroom/miniforge/base/envs/gromacs_env
Working dir:  /Users/laetitiaguerin/Library/CloudStorage/OneDrive-Personal/Documents/BSc_Nanobiology/Year_5/BEP/Energy_minimization/tleap_runs/O52681_T81P
Command line:
  gmx mdrun -v -deffnm O52681_T81P_minim

The current CPU can measure timings more accurately than the code in
gmx mdrun was configured to use. This might affect your simulation
speed as accurate timings are needed for load-balancing.
Please consider rebuilding gmx mdrun with the GMX_USE_RDTSCP=ON CMake option.
Reading file O52681_T81P_minim.tpr, VERSION 2024.5-conda_forge (single precision)

Using 1 MPI thread
Using 8 OpenMP threads 


Steepest Descents:
   Tolerance (Fmax)   =  1.00000e+03
   Number of steps    =        50000
Step=   49, Dmax= 2.4e-02 nm, Epot= -4.92289e+05 Fmax= 2.83932e+04, atom= 1334
Step=   50, Dmax= 1.2e-02 nm, Epot= -4.93585e+05 Fmax= 1.02478e+04, atom= 1334
Step=   51, Dmax= 1.4e-02 nm, Epot= -4.93844e+05 Fmax= 1.17763e+04, atom= 1334
Step=   52, Dmax= 1.7e-02 nm, Epot= -4.94018e+05 Fmax= 1.44450e+04, atom= 1334
Step=   53, Dmax= 2.1e-02 nm, Epot= -4.94149e+05 Fmax= 1.71753e+04, atom= 1334
Step=   54, Dmax= 2.5e-02 nm, Epot= -4.94169e+05 Fmax= 2.05185e+04, atom= 1334
Step=   55, Dmax= 3.0e-02 nm, Epot= -4.94030e+05 Fmax= 2.48042e+04, atom= 1334
Step=   56, Dmax= 1.5e-02 nm, Epot= -4.95300e+05 Fmax= 2.22928e+03, atom= 1334
Step=   57, Dmax= 1.8e-02 nm, Epot= -4.95616e+05 Fmax= 2.45694e+04, atom= 1334
Step=   58, Dmax= 2.1e-02 nm, Epot= -4.97014e+05 Fmax= 8.35507e+03, atom= 1334
Step=   59, Dmax= 2.6e-02 nm, Epot= -4.95622e+05 Fmax= 3.07007e+04, atom= 1334
Step=   60, Dmax= 1.3e-02 nm, Epot= -4.97180e+05 Fmax= 1.12214e+04, atom= 1334
Step=   61, Dmax= 1.5e-02 nm, Epot= -4.97377e+05 Fmax= 1.24416e+04, atom= 1334
Step=   62, Dmax= 1.9e-02 nm, Epot= -4.97439e+05 Fmax= 1.57368e+04, atom= 1334
Step=   63, Dmax= 2.2e-02 nm, Epot= -4.97510e+05 Fmax= 1.82237e+04, atom= 1334
Step=   64, Dmax= 2.7e-02 nm, Epot= -4.97389e+05 Fmax= 2.22606e+04, atom= 1334
Step=   65, Dmax= 1.3e-02 nm, Epot= -4.98369e+05 Fmax= 2.07597e+03, atom= 1334
Step=   66, Dmax= 1.6e-02 nm, Epot= -4.98560e+05 Fmax= 2.28363e+04, atom= 1334
Step=   67, Dmax= 1.9e-02 nm, Epot= -4.99751e+05 Fmax= 6.55487e+03, atom= 1334
Step=   68, Dmax= 2.3e-02 nm, Epot= -4.98602e+05 Fmax= 2.87690e+04, atom= 1334
Step=   69, Dmax= 1.2e-02 nm, Epot= -4.99857e+05 Fmax= 1.11453e+04, atom= 1334
Step=   70, Dmax= 1.4e-02 nm, Epot= -5.00104e+05 Fmax= 9.91450e+03, atom= 1334
Step=   71, Dmax= 1.7e-02 nm, Epot= -5.00058e+05 Fmax= 1.54976e+04, atom= 1334
Step=   72, Dmax= 8.3e-03 nm, Epot= -5.00430e+05 Fmax= 2.79989e+03, atom= 1334
Step=   73, Dmax= 1.0e-02 nm, Epot= -5.00663e+05 Fmax= 1.22406e+04, atom= 1334
Step=   74, Dmax= 1.2e-02 nm, Epot= -5.01052e+05 Fmax= 6.06516e+03, atom= 1334
Step=   75, Dmax= 1.4e-02 nm, Epot= -5.00943e+05 Fmax= 1.57146e+04, atom= 1334
Step=   76, Dmax= 7.2e-03 nm, Epot= -5.01251e+05 Fmax= 4.82734e+03, atom= 1334
Step=   77, Dmax= 8.6e-03 nm, Epot= -5.01409e+05 Fmax= 8.40540e+03, atom= 1334
Step=   78, Dmax= 1.0e-02 nm, Epot= -5.01617e+05 Fmax= 7.30279e+03, atom= 1334
Step=   79, Dmax= 1.2e-02 nm, Epot= -5.01678e+05 Fmax= 1.17022e+04, atom= 1334
Step=   80, Dmax= 1.5e-02 nm, Epot= -5.01887e+05 Fmax= 1.09231e+04, atom= 1334
Step=   81, Dmax= 1.8e-02 nm, Epot= -5.01795e+05 Fmax= 1.63699e+04, atom= 1334
Step=   82, Dmax= 8.9e-03 nm, Epot= -5.02238e+05 Fmax= 2.73596e+03, atom= 1334
Step=   83, Dmax= 1.1e-02 nm, Epot= -5.02393e+05 Fmax= 1.34186e+04, atom= 1334
Step=   84, Dmax= 1.3e-02 nm, Epot= -5.02819e+05 Fmax= 6.25329e+03, atom= 1334
Step=   85, Dmax= 1.5e-02 nm, Epot= -5.02591e+05 Fmax= 1.71547e+04, atom= 1334
Step=   86, Dmax= 7.7e-03 nm, Epot= -5.02996e+05 Fmax= 5.45405e+03, atom= 1334
Step=   87, Dmax= 9.2e-03 nm, Epot= -5.03114e+05 Fmax= 8.75741e+03, atom= 1334
Step=   88, Dmax= 1.1e-02 nm, Epot= -5.03292e+05 Fmax= 8.12548e+03, atom= 1334
Step=   89, Dmax= 1.3e-02 nm, Epot= -5.03318e+05 Fmax= 1.22882e+04, atom= 1334
Step=   90, Dmax= 1.6e-02 nm, Epot= -5.03486e+05 Fmax= 1.20254e+04, atom= 1334
Step=   91, Dmax= 1.9e-02 nm, Epot= -5.03352e+05 Fmax= 1.72892e+04, atom= 1334
Step=   92, Dmax= 9.6e-03 nm, Epot= -5.03877e+05 Fmax= 2.64788e+03, atom= 1334
Step=   93, Dmax= 1.1e-02 nm, Epot= -5.03946e+05 Fmax= 1.47091e+04, atom= 1334
Step=   94, Dmax= 1.4e-02 nm, Epot= -5.04430e+05 Fmax= 6.43081e+03, atom= 1334
Step=   95, Dmax= 1.7e-02 nm, Epot= -5.04059e+05 Fmax= 1.87299e+04, atom= 1334
Step=   96, Dmax= 8.3e-03 nm, Epot= -5.04583e+05 Fmax= 6.15365e+03, atom= 1334
Step=   97, Dmax= 9.9e-03 nm, Epot= -5.04672e+05 Fmax= 9.10850e+03, atom= 1334
Step=   98, Dmax= 1.2e-02 nm, Epot= -5.04818e+05 Fmax= 9.03743e+03, atom= 1334
Step=   99, Dmax= 1.4e-02 nm, Epot= -5.04815e+05 Fmax= 1.28886e+04, atom= 1334
Step=  100, Dmax= 7.2e-03 nm, Epot= -5.05075e+05 Fmax= 1.93332e+03, atom= 1334
Step=  101, Dmax= 8.6e-03 nm, Epot= -5.05309e+05 Fmax= 1.09640e+04, atom= 1334
Step=  102, Dmax= 1.0e-02 nm, Epot= -5.05619e+05 Fmax= 4.83211e+03, atom= 1334
Step=  103, Dmax= 1.2e-02 nm, Epot= -5.05516e+05 Fmax= 1.39316e+04, atom= 1334
Step=  104, Dmax= 6.2e-03 nm, Epot= -5.05758e+05 Fmax= 4.55184e+03, atom= 1334
Step=  105, Dmax= 7.4e-03 nm, Epot= -5.05872e+05 Fmax= 6.86553e+03, atom= 1334
Step=  106, Dmax= 8.9e-03 nm, Epot= -5.06010e+05 Fmax= 6.67294e+03, atom= 1334
Step=  107, Dmax= 1.1e-02 nm, Epot= -5.06067e+05 Fmax= 9.72562e+03, atom= 1334
Step=  108, Dmax= 1.3e-02 nm, Epot= -5.06194e+05 Fmax= 9.79231e+03, atom= 1744
Step=  109, Dmax= 1.5e-02 nm, Epot= -5.06148e+05 Fmax= 1.37950e+04, atom= 1744
Step=  110, Dmax= 7.7e-03 nm, Epot= -5.06474e+05 Fmax= 2.00292e+03, atom= 1744
Step=  111, Dmax= 9.2e-03 nm, Epot= -5.06629e+05 Fmax= 1.21972e+04, atom= 1744
Step=  112, Dmax= 1.1e-02 nm, Epot= -5.06979e+05 Fmax= 4.81901e+03, atom= 1744
Step=  113, Dmax= 1.3e-02 nm, Epot= -5.06804e+05 Fmax= 1.55650e+04, atom= 1744
Step=  114, Dmax= 6.6e-03 nm, Epot= -5.07100e+05 Fmax= 5.37961e+03, atom= 1744
Step=  115, Dmax= 8.0e-03 nm, Epot= -5.07206e+05 Fmax= 6.86234e+03, atom= 1744
Step=  116, Dmax= 9.6e-03 nm, Epot= -5.07310e+05 Fmax= 7.81626e+03, atom= 1744
Step=  117, Dmax= 1.1e-02 nm, Epot= -5.07381e+05 Fmax= 9.81239e+03, atom= 1744
Step=  118, Dmax= 1.4e-02 nm, Epot= -5.07452e+05 Fmax= 1.13066e+04, atom= 1744
Step=  119, Dmax= 1.7e-02 nm, Epot= -5.07458e+05 Fmax= 1.40611e+04, atom= 1744
