cofactor,count,em_mean,em_std,em_median,burial_mean,burial_std,burial_median,ph_mean,ph_std,ph_median,residue_count_mean,residue_count_median,residue_count_std,max_dimension_mean,max_dimension_median,max_dimension_std
[2Fe-2S],60,-267.05,199.58613322641224,-343.0,6.004907139142355,3.545020591248171,5.143346309661865,7.166666666666667,0.3089987475519934,7.0,163.21666666666667,159.0,73.64239984924143,61.55471661885579,54.92000198364258,18.963488295372684
[4Fe-4S],92,-322.19565217391306,297.16455792436483,-403.5,8.295395703419395,4.877225708288134,6.244290590286255,7.4206521739130435,0.5130255104678777,7.0,137.81521739130434,81.0,139.6924361765974,42.78953228826108,37.4900016784668,16.83750548182998
[3Fe-4S],10,-201.4,188.56605090937114,-200.0,10.189693832397461,7.507373503246312,7.18091607093811,7.470000000000001,0.47152235719351987,7.65,168.7,105.0,121.79002422201911,48.587100219726565,37.97999954223633,20.478500133144575
Fe3+,6,-42.5,30.25061982836054,-52.0,4.247632741928101,0.035508888557073244,4.2387566566467285,7.0,0.0,7.0,53.333333333333336,53.5,0.7453559924999298,27.41916624704997,27.43299961090088,1.4524659796563468
