model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,Pearson_mean,Pearson_std,Spearman_mean,Spearman_std,ExplainedVariance_mean,ExplainedVariance_std,mae_train_list,mae_test_list,RMSE_list,R2_list,Pearson_list,Spearman_list,ExplainedVariance_list
LinearRegression,164.16092343782879,55.5133569803984,229.00309358884806,93.95302459971904,0.20976273140398946,0.7230667430195754,0.7437038599773235,0.17709637963576977,0.5284352962395055,0.1748527190743554,0.25806794393312965,0.677718096323669,"[47.97789233284436, 39.04225981433432, 46.03998500772626, 41.75302846976587, 43.46450621773997, 39.45453581329361, 42.85944423900151, 38.82714901176075, 42.027972755140695, 44.65467680613913, 42.57582661189356, 35.481556154996554, 50.57084665441644, 31.339680939064717, 40.14207496962638, 38.47054684095185, 40.57822058532636, 54.08279112925987, 42.08915865632528, 36.98369143730211, 41.027324515725546, 51.65476798301259, 40.400561212864346, 46.45128128799718, 27.426041561820732, 49.551481307638035, 35.79858421770801, 39.66219960894931, 45.618198133372836, 41.50194969428328, 37.53400014630945, 42.64678177856419, 50.05458011602232, 47.50059104801844, 53.104412143066654, 48.59118996630602, 44.28294416593755, 44.69033251868671, 40.628464486146115, 44.99394924808099, 48.8362532754518, 30.24612937825111, 44.82227263853992, 43.75431291561153, 48.13332674607119, 45.74671570286629, 37.71347449292916, 40.93449228858379, 36.85620849859654, 41.79119154315999]","[210.0623209849435, 169.77650957487836, 148.87402459939509, 239.29064630045937, 145.910534510394, 231.46897462980192, 264.1082275492786, 148.8922705098684, 107.93714954242454, 201.05777051102393, 187.4126342405847, 179.21262761845514, 114.95147826164988, 130.90070562650953, 235.85335978039464, 135.53718570604235, 177.95246740834935, 87.85915440185723, 127.11952213992556, 262.6386561899151, 108.01167943376123, 201.8101188126283, 243.38778918905507, 117.2994474302292, 176.76529397482716, 102.1575967985691, 234.12603589789728, 173.28094150308962, 214.34360047788905, 129.02850683646037, 190.8213869725848, 169.46913332285519, 108.28849179863813, 83.3157339310421, 122.20106475873428, 95.13858735105742, 155.2111469406958, 143.24018477675378, 223.53280310682692, 105.97098744938029, 316.62138944665963, 195.62385026516785, 78.27217949617472, 121.2029841220303, 95.13943058938044, 109.00962623759872, 201.6091257056668, 218.23628630746114, 162.31325887644573, 105.80128999572862]","[np.float64(270.6124251189557), np.float64(242.48933609375456), np.float64(191.6781390118986), np.float64(388.01809920693955), np.float64(189.39167798407038), np.float64(267.18773983153926), np.float64(354.03051988441035), np.float64(178.671315672439), np.float64(143.47436942839212), np.float64(254.13462532418632), np.float64(231.3920203384062), np.float64(244.99708315035923), np.float64(142.828034016053), np.float64(168.97014822361376), np.float64(416.07148781965566), np.float64(217.51443648336533), np.float64(224.07766598329744), np.float64(111.3253768847793), np.float64(173.39657308426652), np.float64(331.2748173709879), np.float64(148.5041147966781), np.float64(294.3073511298931), np.float64(370.1749651965823), np.float64(165.53767383412966), np.float64(217.5205971394819), np.float64(168.84806711567126), np.float64(373.9516752354065), np.float64(257.4549657759914), np.float64(311.76684106644296), np.float64(172.0672287511555), np.float64(257.1921955214489), np.float64(214.5068796928122), np.float64(143.12810075677277), np.float64(134.7494955804724), np.float64(162.55144205084412), np.float64(153.73815791766566), np.float64(189.5563029615894), np.float64(179.1750534266801), np.float64(317.45592479832993), np.float64(148.9353957784436), np.float64(601.0494867310621), np.float64(275.687213790021), np.float64(109.27863837967759), np.float64(171.29929302206168), np.float64(122.2756740980449), np.float64(128.425369829514), np.float64(263.924772276006), np.float64(299.6433092242268), np.float64(214.11557427551415), np.float64(141.7970283784125)]","[0.4639498530005227, 0.35272717844599377, 0.5733843592874308, -1.8462238172680956, 0.15033974049228316, 0.4317274466287905, -0.359415875686641, 0.4940018229732853, 0.8305037033808678, -1.3016799535125934, 0.2964153311031531, 0.3528937601365272, 0.7866516267196494, 0.6913616049768783, -1.8847368975508965, 0.5184617049777753, 0.5828508748645869, 0.7155156477873195, 0.17464071197451791, -0.026176291875352975, 0.26712524912117974, 0.15261922489241153, -0.44520233909371254, 0.7228864244148858, 0.41953586284996414, 0.6653771345963464, -0.9274921627817043, -0.10619434650032478, 0.12993323684136682, 0.6814443201108911, 0.5307270531648369, 0.23632553715275917, 0.704925454599358, 0.6648417545331555, 0.7077690011890545, 0.7067102337408564, 0.49992209634393936, 0.6915808577642476, -0.2745432946597155, 0.7735539566627473, -2.4308104840789544, 0.08417627343914891, 0.9067259182553014, 0.1966026006337217, 0.7875116628580923, 0.767242130668677, 0.24462893465121271, -0.09360625044874671, 0.5336039814036113, 0.6930240170188605]","[np.float64(0.7353085871160506), np.float64(0.771779208530175), np.float64(0.8028434228907164), np.float64(0.24447865730619403), np.float64(0.6199639080445414), np.float64(0.824780676011932), np.float64(0.5841980614133674), np.float64(0.7504789363895881), np.float64(0.9153468095939506), np.float64(0.45947215434427546), np.float64(0.6365485111595643), np.float64(0.7802140483792944), np.float64(0.9391656255549364), np.float64(0.8749095199604784), np.float64(0.05363749025960885), np.float64(0.8280015161123637), np.float64(0.9087329516304663), np.float64(0.8577552882001837), np.float64(0.8446643331669448), np.float64(0.5520807795107849), np.float64(0.7318071814429528), np.float64(0.8325297016470262), np.float64(0.7151402422128347), np.float64(0.9036414291708288), np.float64(0.6678742023761608), np.float64(0.8583529650422208), np.float64(0.5668730991072071), np.float64(0.7817209254665072), np.float64(0.5085024657261531), np.float64(0.8571985566546508), np.float64(0.8725414862192326), np.float64(0.7136371556060058), np.float64(0.8632123323603701), np.float64(0.8337254650569181), np.float64(0.8718627659888726), np.float64(0.8655853891992975), np.float64(0.7333781111674026), np.float64(0.905346066628377), np.float64(0.5126629017785526), np.float64(0.8916748874810316), np.float64(0.5475656512690611), np.float64(0.7156570965877488), np.float64(0.9560779468548659), np.float64(0.6005332446766737), np.float64(0.9103337184366919), np.float64(0.8865372456672668), np.float64(0.851367063518605), np.float64(0.6191634244779695), np.float64(0.7851260193845745), np.float64(0.8412037720846874)]","[np.float64(0.6035087719298246), np.float64(0.6035165418202217), np.float64(0.45510835913312697), np.float64(0.30149720073609626), np.float64(0.09814049586776862), np.float64(0.362758049915248), np.float64(0.5105263157894736), np.float64(0.4826874029588813), np.float64(0.7188631450918672), np.float64(0.48472300647896693), np.float64(0.37417658417408145), np.float64(0.5539949457362722), np.float64(0.8248063116941913), np.float64(0.46900826446281), np.float64(0.13319568114711103), np.float64(0.6529180093227768), np.float64(0.6874453922527751), np.float64(0.6711478800413649), np.float64(0.760577915376677), np.float64(0.3892617968407818), np.float64(0.6748681898066784), np.float64(0.6347258265943653), np.float64(0.5265875766281134), np.float64(0.6873385930784928), np.float64(0.1457364535700263), np.float64(0.6596491228070176), np.float64(0.3782361048630602), np.float64(0.6456615015526143), np.float64(0.23140495867768598), np.float64(0.6273902646596167), np.float64(0.6892010535557506), np.float64(0.46815990461217233), np.float64(0.6917915222369333), np.float64(0.7609706744606266), np.float64(0.5012920566061188), np.float64(0.5516030395805708), np.float64(0.40210711150131695), np.float64(0.6855963742766025), np.float64(0.3142119282644538), np.float64(0.762641898864809), np.float64(0.38998686237862007), np.float64(0.6064063769382241), np.float64(0.8018575851393188), np.float64(0.3717088776198447), np.float64(0.5788114468029412), np.float64(0.35180299032541773), np.float64(0.5857528850913631), np.float64(0.38779731127197514), np.float64(0.5397316821465429), np.float64(0.6308725672936809)]","[0.47227802282629516, 0.3781049530931003, 0.5754945445670792, -1.8099451884037796, 0.1571447714168145, 0.4340997178273057, -0.26944210271215074, 0.5132265546410537, 0.8319646475874665, -1.2480162558418146, 0.3184371680485203, 0.45373953419453716, 0.8146384491143113, 0.6993906678469842, -1.4310912632429056, 0.6362112139484942, 0.6360856797657581, 0.7273739409144837, 0.17591256843080594, 0.06441597406599409, 0.27331154319614404, 0.22554411778262806, -0.36657242857280603, 0.7309341879997864, 0.43674696509828737, 0.6774510145681976, -0.6249998763775282, -0.045783318846468024, 0.14132697476285405, 0.6941142147375333, 0.5360845307221221, 0.2450574817739315, 0.7387391680218951, 0.6648429733342782, 0.733273322296194, 0.7091701951651732, 0.5170204546569179, 0.7036875064548778, -0.2670871883024628, 0.7844356845440488, -2.3060133329627313, 0.24942797484217338, 0.9091323021870444, 0.29909117263699947, 0.8062188854211395, 0.7734283054257249, 0.3177731675296682, -0.06605904904303372, 0.5888100286167881, 0.6942666208987514]"
ElasticNet,97.28434408491917,19.890587436745847,130.52421860246287,25.418158677812876,0.7649664540448966,0.11220924397945227,0.8920812469237169,0.053150655240487996,0.7457359264451234,0.10248537459953072,0.7820263987824049,0.10213161174562967,"[67.06465496548041, 66.39115461753282, 70.69964554975836, 65.04518498851888, 72.2959983772213, 55.42933954851698, 67.8938507231905, 47.508762201248125, 62.81499186547055, 71.99426010684378, 68.89858013200617, 57.84312097294112, 66.09453020632199, 74.74350767458462, 62.57625434019513, 62.73430465591548, 56.811893009352815, 84.64978188644496, 67.44951754653064, 77.9858761609426, 72.69088439321983, 73.038342994311, 78.7761778082037, 68.98966892063987, 57.52547709755338, 79.40984868898941, 52.03132185278846, 59.73225124441456, 72.49826668023884, 52.377191566219, 57.25209532152103, 70.54333510524066, 71.39971952455171, 59.988716233023936, 66.3114971910591, 72.03744669743611, 70.79953257005293, 59.047737430946874, 49.789072367657646, 64.40876729280667, 82.91689787511766, 63.61392221148632, 68.45725898421519, 56.640491967863575, 70.47110318411228, 66.5675540932904, 69.09941131277522, 61.519918059909706, 73.1090058975449, 69.42094128391321]","[108.42270952548645, 108.36590946301997, 93.49651054306888, 102.84343567262292, 80.11107789304877, 115.28983342874474, 103.29327464545527, 122.86013304096491, 89.83293972135178, 68.78734224175139, 83.50430888708364, 105.73825590969716, 70.73106183080844, 114.73213831567497, 88.11568398131186, 112.46949057227805, 89.28819808886794, 87.54011760029482, 89.97181032085493, 84.21533732847709, 65.79454553714511, 75.10164662620402, 107.71248796977312, 97.43875010196228, 135.14235331232962, 98.7435279290074, 128.84114626695046, 112.12167481184147, 62.39588735349287, 149.04158651110322, 103.79679138931287, 132.3260552723903, 68.4774021708957, 74.66981263301088, 90.75750791907528, 88.88129455194257, 94.56910761662046, 92.74934065850749, 148.15020437573764, 80.63975528118064, 93.12939618203609, 117.93742704777306, 93.47773061409026, 99.83987173918273, 82.91552398097583, 96.0153103187129, 90.7719897388208, 88.66584256567782, 69.98604858632748, 104.51761617301484]","[np.float64(144.34326257545786), np.float64(153.70795131255397), np.float64(116.7448316575443), np.float64(139.43630595524283), np.float64(111.49522555478865), np.float64(135.7949170398207), np.float64(129.78882501646848), np.float64(172.43122600583698), np.float64(119.82500106225659), np.float64(95.14951634697503), np.float64(106.42023400996241), np.float64(150.99798337484873), np.float64(94.07472224751984), np.float64(143.96245539935845), np.float64(122.82938573832118), np.float64(164.75885579142565), np.float64(109.58218597225574), np.float64(102.87461557619719), np.float64(119.81733651927875), np.float64(127.1276523479484), np.float64(99.66704577032796), np.float64(100.65249125958965), np.float64(143.19458012718061), np.float64(135.50501741204718), np.float64(177.5030060894429), np.float64(129.85477585589356), np.float64(174.36196220418782), np.float64(161.95969310307643), np.float64(73.27528838143951), np.float64(171.48913892608098), np.float64(148.89942804387186), np.float64(168.8079743087815), np.float64(93.45365017032415), np.float64(106.33451905076531), np.float64(118.56605827846933), np.float64(119.86434714105762), np.float64(124.20612410189445), np.float64(130.4268493200371), np.float64(181.4076016467643), np.float64(126.79620569352588), np.float64(125.80698647150747), np.float64(166.51912326473962), np.float64(132.0121292302599), np.float64(128.23696032940472), np.float64(104.5469023729971), np.float64(129.95985899593), np.float64(123.39681705808636), np.float64(111.89783617823072), np.float64(100.38146997979716), np.float64(156.06459985337105)]","[0.8474883612345963, 0.7399273091958883, 0.8417415412943907, 0.6324496691114797, 0.7055333856922228, 0.8532119650643974, 0.8172970611097021, 0.5287285685369641, 0.881775782760995, 0.6773509254596437, 0.8511776936363034, 0.7541919767233319, 0.9074432047838491, 0.7759584996354467, 0.7485944518522956, 0.7237182538007769, 0.9002359406790911, 0.7570670153144191, 0.6059046185949635, 0.8488788727934096, 0.6698920710647794, 0.9008881816107412, 0.7837442179368044, 0.8143158394929683, 0.6134674747103366, 0.802084740184134, 0.5809506704505516, 0.5622332430718684, 0.9519373396266684, 0.6835812110252077, 0.8427118495215259, 0.5270538070669983, 0.8742017881729979, 0.7912895693469222, 0.8445232716940528, 0.8217154899568191, 0.7852924950809201, 0.8365743404757049, 0.5838032524423988, 0.8358724810584054, 0.8496907227831645, 0.6658766142918522, 0.8638812024618144, 0.5497583049978275, 0.8446621443652594, 0.7616466908104131, 0.8348768560336058, 0.847491099101425, 0.8974901918581233, 0.6281404442763678]","[np.float64(0.9494326252228967), np.float64(0.8635485644595827), np.float64(0.9303222948474859), np.float64(0.8413828435573449), np.float64(0.8623191209164526), np.float64(0.9297599584890577), np.float64(0.9090566653043579), np.float64(0.7965114622385884), np.float64(0.9462677293435118), np.float64(0.8301122899831661), np.float64(0.9281682603898433), np.float64(0.8940393015240629), np.float64(0.9563939205583591), np.float64(0.8945507750437125), np.float64(0.8945907791655558), np.float64(0.8590588687639535), np.float64(0.9611854285312701), np.float64(0.9132891232635804), np.float64(0.8471037485038031), np.float64(0.9259465549062857), np.float64(0.8619074081503565), np.float64(0.9515440796186818), np.float64(0.8896624506532983), np.float64(0.9073997390180477), np.float64(0.8006795582219445), np.float64(0.9009184505381848), np.float64(0.8308806749825627), np.float64(0.7735741295733879), np.float64(0.9825222183040164), np.float64(0.8848294807615288), np.float64(0.9239488922974124), np.float64(0.7844346392620111), np.float64(0.9437371206239383), np.float64(0.8952708116170449), np.float64(0.9203257014768023), np.float64(0.961221706483228), np.float64(0.8876622226091535), np.float64(0.9247420833123027), np.float64(0.8132156465954516), np.float64(0.9232155437616837), np.float64(0.9225165017221151), np.float64(0.8533698675383224), np.float64(0.9410485165110503), np.float64(0.760881070293784), np.float64(0.9215477938716748), np.float64(0.8753652247534378), np.float64(0.9216973004875767), np.float64(0.9267225294177275), np.float64(0.9484563795593628), np.float64(0.8377242891568901)]","[np.float64(0.8701754385964912), np.float64(0.5832967596470753), np.float64(0.7564499484004128), np.float64(0.7537430018402407), np.float64(0.7272727272727274), np.float64(0.7580150050287144), np.float64(0.6561403508771929), np.float64(0.6046512435352155), np.float64(0.7757106979028703), np.float64(0.674262130807281), np.float64(0.6411946160729564), np.float64(0.7664621040059677), np.float64(0.9054264774988867), np.float64(0.6838842975206612), np.float64(0.806401759503052), np.float64(0.7301448706405246), np.float64(0.7682180309338162), np.float64(0.8304033092037227), np.float64(0.8163054695562436), np.float64(0.8631906158060838), np.float64(0.8040421792618629), np.float64(0.7894512358472853), np.float64(0.5059370834270109), np.float64(0.800000106831208), np.float64(0.5736434874564864), np.float64(0.6824561403508772), np.float64(0.6906538620121309), np.float64(0.7138433561165703), np.float64(0.9276859504132233), np.float64(0.7617572076674423), np.float64(0.8331870061457419), np.float64(0.5527240773286468), np.float64(0.755808051160351), np.float64(0.8745483870666902), np.float64(0.7782946775760977), np.float64(0.9521300874288834), np.float64(0.7603160667251976), np.float64(0.8218896294038788), np.float64(0.4878553623053362), np.float64(0.7420020639834881), np.float64(0.604303966929033), np.float64(0.7520843198785211), np.float64(0.8452012383900928), np.float64(0.6442953878743976), np.float64(0.7751939019682249), np.float64(0.6977563367742996), np.float64(0.8438194767104373), np.float64(0.7569803516028953), np.float64(0.8452012383900928), np.float64(0.7423852305796343)]","[0.857300322938079, 0.7422898849459305, 0.8613325126732153, 0.6618751394581346, 0.7415083447299242, 0.8597255801380027, 0.8263633846580138, 0.5826841510982297, 0.8826050980072866, 0.6774189354966811, 0.8567976908853997, 0.7992947591575321, 0.9146362910537349, 0.791978122895362, 0.7686278981622627, 0.737905141032501, 0.9129972346324433, 0.833854694985726, 0.6698073233439668, 0.8550210838406114, 0.6720670609196921, 0.9046760556057546, 0.7913447786657847, 0.8230736811974416, 0.6199508408638728, 0.8082290164019366, 0.6734585825653991, 0.5623658373592944, 0.9621752233868068, 0.7297024820476842, 0.8486786164340386, 0.6149285041602072, 0.8777099272155414, 0.8011120239263707, 0.8451095720335372, 0.8249081074777926, 0.7854591768662738, 0.8388501789823813, 0.5854720325282023, 0.8506857476187542, 0.8508429052479127, 0.7177200566771313, 0.8692986883942443, 0.5503196912165852, 0.8491745355576567, 0.7622813213934996, 0.8371263244884355, 0.8585911735008734, 0.8989665986548965, 0.6530176035992081]"
SVR,123.14006368385073,27.207792718701747,188.20062909927805,42.11919175517024,0.5338656783406761,0.20940608215789688,0.7911902178078063,0.10889735394752503,0.7129663993675852,0.1522426555344909,0.561918152150657,0.20987627637091372,"[29.72070332567739, 76.59575996011114, 80.63403290223812, 25.081663000835977, 79.67113467109027, 70.14412257335107, 71.25763339252265, 74.37472974511029, 61.51532380928795, 34.75318483896325, 74.23590004329041, 29.563958366528386, 77.0272110310852, 71.86727575779761, 74.58254910835488, 60.45719593285197, 63.70733776403596, 84.96246875247675, 81.70419430119577, 69.89381479588096, 84.32760615173615, 72.17206663983204, 29.249675524968335, 60.95160329567743, 62.72481921341978, 74.79866240678024, 68.56019635513202, 71.68453566994796, 31.137968417232724, 73.55570999937362, 20.900678022514146, 74.1094101414199, 32.02707344251427, 79.69675569102553, 69.52532513866781, 68.5295634267481, 72.805030974114, 27.222304238567936, 24.105384191963687, 79.90808094605423, 73.19905385946403, 72.27999787428784, 60.41002990920939, 77.89283397827582, 77.30987698809172, 72.78758461661921, 66.15552335024367, 73.70285754909848, 69.9940559091525, 77.10296355224301]","[191.43697962030825, 118.59349392170365, 98.5326294177306, 124.97818884920702, 82.12591694740598, 120.98008076732265, 113.8057634553022, 108.56173254225935, 159.26764753703253, 119.77552703141464, 109.05343964317198, 157.46318529461712, 110.6654594561766, 121.58228662009793, 109.15184161133003, 152.50856147370175, 134.575815167359, 72.92800016667456, 78.68160818647624, 168.21742642222966, 73.41779834639256, 107.17805216046162, 137.25228097657845, 154.05856197038776, 174.10460705999148, 109.58731911995913, 142.7467862822062, 149.96584859344787, 114.19867770397094, 120.59915883992309, 167.98610911218984, 139.2714664097384, 86.67012130616602, 88.83855647901713, 129.37410974350638, 125.71625997616698, 110.70026398509674, 142.80679420915277, 135.09931528616374, 92.0312550354695, 121.96765542671064, 136.57331459605652, 156.9422433085627, 92.69006851030612, 75.47762132127833, 134.83716707288912, 125.3652825610767, 124.05823143366933, 124.34349286410465, 110.2591803703745]","[np.float64(280.9812424835022), np.float64(176.5220710859056), np.float64(132.2460263060097), np.float64(195.3995424555135), np.float64(108.83696575914678), np.float64(187.89901726534643), np.float64(155.4372540021152), np.float64(163.18327233160952), np.float64(250.6395796178438), np.float64(196.1969770187115), np.float64(150.51086987159218), np.float64(241.09142685477374), np.float64(217.59077892526471), np.float64(170.117003696062), np.float64(156.07800053979517), np.float64(231.7763947717525), np.float64(225.10993057549754), np.float64(125.05774998675996), np.float64(117.34256491253562), np.float64(235.58283327365987), np.float64(106.37908072245015), np.float64(162.64573467527234), np.float64(222.00048968545738), np.float64(237.3080510242668), np.float64(235.90208965070113), np.float64(197.8660640983939), np.float64(187.58461991346186), np.float64(241.26570031404418), np.float64(163.8880410998532), np.float64(164.21918613782432), np.float64(224.26347107594898), np.float64(199.52439951108116), np.float64(148.70422099269308), np.float64(161.45973817771306), np.float64(249.74286149883508), np.float64(238.72951155667226), np.float64(148.06481318381051), np.float64(231.9725310331584), np.float64(185.03354072621312), np.float64(141.19895368911799), np.float64(167.45090067568174), np.float64(190.63440256973072), np.float64(256.3117301962936), np.float64(161.62834388320073), np.float64(124.21200574866742), np.float64(202.08712445505856), np.float64(173.32316972473194), np.float64(175.56449526914292), np.float64(186.25986020936557), np.float64(207.20682173166227)]","[0.4220841440826587, 0.6569952681370875, 0.7969248101500593, 0.2782078313416232, 0.719407296518664, 0.718957082146041, 0.7379518111838939, 0.5779240982006398, 0.4827376469226363, -0.3718349928481346, 0.7023161025759583, 0.37336118182641986, 0.5048424642182924, 0.6871577279092662, 0.5940676308986721, 0.4532446211194888, 0.5789986380342369, 0.6410026385419263, 0.6220162088543262, 0.4810417606701435, 0.6239329781305256, 0.7412015064477299, 0.4802165681742231, 0.4305061336775018, 0.31728696464102346, 0.5404782661355019, 0.5149839505150762, 0.02855088292192476, 0.7595707718514985, 0.709840485725921, 0.6431982086795378, 0.3392794083826459, 0.6814860028178344, 0.518801682923163, 0.31018791899800835, 0.2927942513895049, 0.6948840354625756, 0.4830371179686105, 0.5669992610576187, 0.7964684002819435, 0.7337122163471157, 0.5620936955498024, 0.4868700113020349, 0.2847558302463179, 0.780728536182212, 0.4236583421426485, 0.6742283559028899, 0.6245732629480657, 0.6470632650347649, 0.34449163471168864]","[np.float64(0.7674103412016404), np.float64(0.8329062108867411), np.float64(0.9167771433996544), np.float64(0.7131072514266108), np.float64(0.8686713140381651), np.float64(0.8490926363411777), np.float64(0.8661490641373376), np.float64(0.8154124971295773), np.float64(0.7881326277412055), np.float64(0.6569357557721797), np.float64(0.9087069109328709), np.float64(0.7219178992364684), np.float64(0.7326872469778895), np.float64(0.8603182849654638), np.float64(0.7854584048103687), np.float64(0.8024259770642951), np.float64(0.7724439179925439), np.float64(0.8498041954203489), np.float64(0.8020789563466902), np.float64(0.7754262966962017), np.float64(0.8051209470546534), np.float64(0.8823315744311727), np.float64(0.8623042415764983), np.float64(0.7310137761639816), np.float64(0.5673580423686768), np.float64(0.7826066967670208), np.float64(0.8603044150075548), np.float64(0.33744374449521447), np.float64(0.9282695467584009), np.float64(0.842874076573386), np.float64(0.8455767687780706), np.float64(0.6226745636962681), np.float64(0.8981415613332009), np.float64(0.7453986708054786), np.float64(0.68952991079515), np.float64(0.677681061988281), np.float64(0.8878133835927956), np.float64(0.826665545158896), np.float64(0.8172370392491957), np.float64(0.9127329161280969), np.float64(0.8775805241945361), np.float64(0.7953551066465544), np.float64(0.7519840220304878), np.float64(0.5733864319640295), np.float64(0.8891072978043283), np.float64(0.6908033921768721), np.float64(0.8505004717964157), np.float64(0.9033771137716199), np.float64(0.9028537693175711), np.float64(0.715621345448478)]","[np.float64(0.7), np.float64(0.6931868801533064), np.float64(0.8101135190918473), np.float64(0.6215798453531849), np.float64(0.709710743801653), np.float64(0.8713219988279081), np.float64(0.7596491228070175), np.float64(0.7596900239288603), np.float64(0.724031104438322), np.float64(0.3024340125894409), np.float64(0.8107159323771763), np.float64(0.6417912921287082), np.float64(0.9219639474075422), np.float64(0.609504132231405), np.float64(0.5193599040077275), np.float64(0.8451075846476265), np.float64(0.7190520769540522), np.float64(0.8179937952430194), np.float64(0.8059855521155831), np.float64(0.46463609702480596), np.float64(0.7091388400702988), np.float64(0.9353854286653803), np.float64(0.6219008264462811), np.float64(0.7782946775760977), np.float64(0.17467702591017334), np.float64(0.7175438596491229), np.float64(0.8240457133791498), np.float64(0.519628376449544), np.float64(0.8806202726359034), np.float64(0.6635659800848005), np.float64(0.803336259877085), np.float64(0.4973637961335677), np.float64(0.8280847773642097), np.float64(0.6804337509763269), np.float64(0.7989665149619172), np.float64(0.8871322770324466), np.float64(0.8165057067603161), np.float64(0.6153846973928541), np.float64(0.6635659800848005), np.float64(0.8679050567595459), np.float64(0.5357927613760322), np.float64(0.8617815660685036), np.float64(0.8348813209494325), np.float64(0.5369128232286646), np.float64(0.7503876971052417), np.float64(0.6845579193069421), np.float64(0.7971850322207051), np.float64(0.5935884177869699), np.float64(0.8513931888544891), np.float64(0.8105318581432726)]","[0.5353430398559098, 0.6586633801441051, 0.8307526464158855, 0.28380808477106323, 0.7298006326806569, 0.7192252631308835, 0.7379658051121367, 0.6010830672832949, 0.5255549891423921, -0.37181808739804767, 0.7150020225207886, 0.4115133717126366, 0.5217932315428406, 0.687731723541801, 0.6048674478890692, 0.5342456032293458, 0.5965394979999717, 0.6421519363105361, 0.6426176673364121, 0.49305436732353614, 0.6289763928302621, 0.7421507654016188, 0.4838559516369333, 0.5332903434732371, 0.31782026472283853, 0.6086410252629517, 0.6331521133195608, 0.028967828091321812, 0.7887950511056239, 0.7098958054629781, 0.651129545901852, 0.3870849306256612, 0.6825897643274892, 0.5435836293199403, 0.3614376424160658, 0.3146583447746727, 0.7025384368163604, 0.48375436630890356, 0.5701814123356477, 0.8124420238114788, 0.7606403607838814, 0.6290348061818969, 0.5259496844809296, 0.32591543903236253, 0.7807327741753556, 0.4507370325684614, 0.6975734457227093, 0.7460771110122288, 0.7388989712089871, 0.3555066538754281]"
